Reporter: 0 -0.891377 16  2 14
Reporter: 1 -0.663384 13  2 11
Reporter: 2 -0.661183 13  2 11
Reporter: 3 -0.806849 15  1 14
Reporter: 4 -0.850953 13  0 13
Reporter: 5 -0.83121 14  0 14
Reporter: 6 -0.607167 10  1 9
Reporter: 7 -0.269633 1  0 1
Reporter: 8 -0.783661 12  0 12
Reporter: 9 -0.910752 16  0 16
Reporter: 10 -0.642269 9  0 9
Reporter: 11 -0.871231 14  0 14
Reporter: 12 -0.767509 12  0 12
Reporter: 13 -0.645459 9  0 9
Reporter: 14 -0.8849 17  1 16
Reporter: 15 0.35193 2  2 0
Reporter: 16 -0.274778 11  7 4
Reporter: 17 0.449114 13  10 3
Reporter: 18 0.480851 4  4 0
Reporter: 19 0.328987 9  6 3
Reporter: 20 0.477901 13  9 4
Reporter: 21 0.25358 7  4 3
Reporter: 22 0.557134 10  8 2
Reporter: 23 -0.26287 8  4 4
Reporter: 24 0.612033 15  11 4
Reporter: 25 0.555627 8  8 0
Reporter: 26 0.409026 12  12 0
Reporter: 27 0.854579 11  11 0
Reporter: 28 0.606655 6  6 0
Reporter: 29 0.552234 12  12 0
Reporter: 30 0.722202 8  8 0
Reporter: 31 0.843662 14  14 0
Reporter: 32 0.831028 12  12 0
Reporter: 33 0.576508 7  7 0
Reporter: 34 0.89485 15  15 0
Reporter: 35 0.728334 8  8 0
Reporter: 36 0.758321 13  13 0
Reporter: 37 0.601989 7  7 0
Reporter: 38 0.914223 14  14 0
Reporter: 39 0.895747 14  14 0
Reporter: 40 0.348422 2  2 0
Reporter: 41 0.797074 14  14 0
Reporter: 42 0.607818 6  6 0
Reporter: 43 -0.291754 11  11 0
Reporter: 44 0.60684 6  6 0
Reporter: 45 0.776741 9  9 0
Reporter: 46 -0.324636 5  5 0
Reporter: 47 0.964103 17  17 0
Reporter: 48 0.722617 14  14 0
Reporter: 49 0.923454 16  16 0
Reporter: 50 -0.499995 6  0 6
Reporter: 52 -0.269227 1  0 1
Reporter: 55 -0.450307 5  0 5
Reporter: 56 -0.354712 3  0 3
Reporter: 57 -0.319482 4  1 3
Reporter: 58 -0.401962 4  0 4
Reporter: 63 -0.269227 1  0 1
Reporter: 64 -0.354255 3  0 3
Reporter: 65 -0.269772 1  0 1
Reporter: 71 0.352192 2  2 0
Reporter: 72 0.414784 3  3 0
Reporter: 73 -0.318933 4  1 3
Reporter: 77 0.292498 1  1 0
Reporter: 79 0.480195 4  4 0
Reporter: 81 0.673583 7  7 0
Reporter: 82 0.547977 5  5 0
Reporter: 83 0.480018 4  4 0
Reporter: 85 0.480841 4  4 0
Reporter: 86 0.29347 1  1 0
Reporter: 87 0.351285 2  2 0
Reporter: 88 0.351285 2  2 0
Reporter: 89 0.54716 5  5 0
Reporter: 92 0.351285 2  2 0
Reporter: 94 0.293322 1  1 0
Reporter: 95 0.480782 4  4 0
Reporter: 96 0.293322 1  1 0
Reporter: 97 0.480482 4  4 0
Reporter: 102 -0.450315 5  0 5
Reporter: 103 -0.450315 5  0 5
Reporter: 105 -0.310179 2  0 2
Reporter: 106 -0.497785 6  0 6
Reporter: 107 -0.548352 7  0 7
Reporter: 109 -0.400205 4  0 4
Reporter: 112 -0.498624 6  0 6
Reporter: 113 -0.498917 6  0 6
Reporter: 114 -0.457728 7  1 6
Reporter: 115 -0.269205 1  0 1
Reporter: 118 -0.399765 4  0 4
Reporter: 119 -0.238604 2  1 1
Reporter: 120 -0.269496 1  0 1
Reporter: 121 0.304976 8  5 3
Reporter: 122 0.348846 11  7 4
Reporter: 123 0.28009 3  2 1
Reporter: 124 -0.27719 3  1 2
Reporter: 125 0.292054 1  1 0
Reporter: 129 0.54475 5  5 0
Reporter: 132 0.349728 2  2 0
Reporter: 134 0.292054 1  1 0
Reporter: 135 0.292498 1  1 0
Reporter: 138 0.817497 10  10 0
Reporter: 139 0.292054 1  1 0
Reporter: 140 0.544073 5  5 0
Reporter: 145 0.292498 1  1 0
Reporter: 147 0.773721 9  9 0
Reporter: 148 0.544073 5  5 0
Reporter: 150 -0.277261 3  1 2
Reporter: 152 -0.450315 5  0 5
Reporter: 160 -0.401962 4  0 4
Reporter: 167 0.351175 2  2 0
Reporter: 168 0.29337 1  1 0
Reporter: 169 0.29337 1  1 0
Reporter: 173 0.266348 5  3 2
Reporter: 174 0.29337 1  1 0
Reporter: 175 0.479134 4  4 0
Reporter: 177 0.29337 1  1 0
Reporter: 180 0.29347 1  1 0
Reporter: 181 0.29337 1  1 0
Reporter: 183 0.29337 1  1 0
Reporter: 187 0.29337 1  1 0
Reporter: 188 0.350687 2  2 0
Reporter: 189 0.29337 1  1 0
Reporter: 192 0.29337 1  1 0
Reporter: 194 0.29337 1  1 0
Reporter: 195 0.29337 1  1 0
Reporter: 197 0.29337 1  1 0
